"seller_id","warehouse_id","myntra_sku_code","seller_sku_code","style_id","sku_id","brand","order_created_date","inscanned_on","fmpu_date","order_delivered_date","return_created_date","refunded_date","order_rto_date","is_refunded","exchange_id","order_id","order_group_id","order_line_id","seller_order_id","status","store_packet_id","seller_packet_id_fk","quantity","return_id","return_mode","return_reason","return_status","forward_tracking_number","return_tracking_number","master_bag_id","lmdo_last_modified_on","gatepass_id","gatepass_status","gatepass_type","gatepass_lastmodified"
"31995","50622","PEAXSARS117158413","PEEN- RUHI SILK- 702","36644569","117158413","PEENGAX","2025-10-02",,,,"1970-01-01",,"2025-10-03",,,"8726986347","5626514865","10726938414","7fa7697f-476c-43da-9714-3700d17ac07e","RTO","8726986347","1716936378","1",,,,,"MYEC1068183517",,,,,,,
"31995","50622","PEAXKASS112050464","PEEN-26003-L","34858673","112050464","PEENGAX","2025-10-03","2025-10-05",,,"1970-01-01",,"2025-10-07",,,"8730194483","5628430064","10730153007","0ffa57f9-65b7-4834-b85f-e854c5a12e70","RTO","8730194483","1718776294","1",,,,,"MYSC1216261039",,,"2025-10-13 18:40:10.000",,,,
"31995","50622","PEAXSARS117162945","RP- AQUA SILK- 523","36646506","117162945","PEENGAX","2025-09-23","2025-09-26",,"2025-10-02","2025-10-06","2025-10-08",,"1",,"8701286775","5611735344","10701217405","3e1fab44-3a49-4c5e-a58e-b3604b7edd50","Return","8701286775","1707783388","1","100087358768","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYEP1083900485","MYER1045634254",,"2025-10-15 13:09:30.000",,,,
"31995","50622","PEAXSARS113565561","PEEN- AJRAKH ELEGANCE- 1401","35448024","113565561","PEENGAX","2025-09-23","2025-09-25",,"2025-09-29","2025-10-02","2025-10-03",,"1",,"8702260384","5612278866","10702191447","1de01c0f-6630-4d2b-8cd4-a61534c9c841","Return","9776449565","1707783412","1","100085714684","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYEC1066512209","MYSR1158269235",,"2025-10-15 15:36:11.000",,,,
"31995","50622","PEAXSARS117162952","RP- VRUNDAVAN SILK- 471","36646513","117162952","PEENGAX","2025-10-06","2025-10-07",,,"1970-01-01",,"2025-10-08",,,"8738591536","5633296095","10738572940","d86194f1-6255-4e9c-9c80-1129ff1abc9c","RTO","8738591536","1721487238","1",,,,,"MYSP1304838701",,,"2025-10-17 14:21:02.000",,,,
"31995","50622","PEAXKASS112050466","PEEN-26003-XXL","34858673","112050466","PEENGAX","2025-10-03","2025-10-04",,"2025-10-06","2025-10-06","2025-10-07",,"1",,"8729230388","5627840003","10729186597","a5e705ac-bc4a-466a-8104-bc2c2528e431","Return","8729230388","1717835358","1","100087444873","OPEN_BOX_PICKUP","I did not like the fit","DLS","MYSP1302036666","MYSR1159553885",,"2025-10-15 15:36:11.000",,,,
"31995","50622","PEAXKASS112050462","PEEN-26003-S","34858673","112050462","PEENGAX","2025-10-09",,,,"1970-01-01",,"2025-10-09",,,"8744069016","5636924308","10744077453","a8357806-1f3c-407b-bcb9-5bc5cd0a37ab","RTO","8744069016","1722881378","1",,,,,"MYSC1218498029",,,,,,,
"31995","50622","PEAXSARS117158413","PEEN- RUHI SILK- 702","36644569","117158413","PEENGAX","2025-10-08","2025-10-11",,"2025-10-13","2025-10-13","2025-10-14",,"1",,"8742068071","5635610538","10742067714","ae215f00-9966-449c-bdc3-a151ce0587c6","Return","8742068071","1722180945","1","100090701465","OPEN_BOX_PICKUP","Color is different","DLS","MYSP1305374296","MYSR1161990276",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS112050588","PEEN-23001-L","34858701","112050588","PEENGAX","2025-10-04","2025-10-07",,"2025-10-10","2025-10-11","2025-10-12",,"1",,"8733920929","5630667515","10733889637","d3d5677d-211c-4167-b003-daf0fa02bcf7","Return","8733920929","1720802437","1","100089689426","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYEC1068983705","MYSR1161236715",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXKASS112050543","PEEN-26002-XXL","34858690","112050543","PEENGAX","2025-10-07","2025-10-09",,"2025-10-12","2025-10-12","2025-10-12",,"1",,"8741278018","5635106953","10741273083","95a0950d-4dc7-4f9e-a9bd-cae27cdc42b7","Return","8741278018","1722180927","1","100090197590","OPEN_BOX_PICKUP","Size too small","DLS","MYEC1069362630","MYSR1161615318",,"2025-11-10 16:56:28.000",,,,
"31995","50622","PEAXSARS114806216","PEEN- RANGAT- 7901","35910652","114806216","PEENGAX","2025-10-02","2025-10-04",,"2025-10-09","2025-10-10","2025-10-11",,"1",,"8726793217","5626383858","10726745284","c890ad6e-6aeb-404b-9755-bc840e165695","Return","9784176075","1716936349","1","100089136832","OPEN_BOX_PICKUP","I do not need it anymore","DLS","MYSC1215332318","MYSR1160827539",,"2025-10-31 14:12:43.000",,,,
"31995","50622","PEAXCOORD118962405","PEEN- 502- S","37191993","118962405","PEENGAX","2025-10-02","2025-10-04",,"2025-10-09","2025-10-09","2025-10-10",,"1",,"8727876794","5627064824","10727832955","6cbf87a0-c965-43d4-ab3a-2d55a132296c","Return","8727876794","1717835351","1","100088964451","OPEN_BOX_PICKUP","Received a poor quality product","DLS","MYEC1068369581","MYSR1160695577",,"2025-10-29 14:41:00.000",,,,
"31995","50622","PEAXSARS115102004","SUDHA-2- 8312","36018866","115102004","PEENGAX","2025-10-10",,,,"1970-01-01",,"2025-10-10",,,"8745523648","5637873654","10745536148","955e207c-5f09-466b-b51a-b78310870c6d","RTO","8745523648","1723486056","1",,,,,"MYSC1218821278",,,,,,,
"31995","50622","PEAXKASS112265999","PEEN-33002-M","34934703","112265999","PEENGAX","2025-10-05","2025-10-07",,"2025-10-10","2025-10-10","2025-10-11",,"1",,"8736054222","5631896394","10736031351","4a3940da-2c07-4793-893d-5c7df4f4c932","Return","8736054222","1720802306","1","100089191207","OPEN_BOX_PICKUP","Product image was better than the actual product","DLS","MYEP1086436046","MYSR1160864975",,"2025-11-05 13:34:04.000",,,,
